,id,title,rating,image_path,overview,vote_count,cast,country,release,tv_rating,duration,genre,description,ott
0,88329,Hawkeye,8.5,/pqzjCxPVc9TkVgGRWeAoMmyqkZV.jpg,"This holiday season, the best gifts come with a bow.",1154,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",,2021,TV-14,1 Season,"Action-Adventure, Superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,disney
1,71914,The Wheel of Time,8.1,/mpgDeLhl8HbhI03XLB7iKO6M6JE.jpg,,745,"Rosamund Pike, Daniel Henney, Josha Stradowski, Madeleine Madden, Zoë Robins, Marcus Rutherford, Barney Harris",,2021,TV-14,1 Season,"Adventure, Drama, Fantasy","Set in an epic fantasy world, The Wheel of Time follows Moiraine (Rosamund Pike), a member of the incredibly powerful all-female organization called the Aes Sedai, as she arrives in the small town of Two Rivers. There, she embarks on a dangerous, world-spanning journey with five young villagers, one of whom is prophesied to be the Dragon Reborn... the one who will either save or destroy humanity.",amazon
2,71912,The Witcher,8.2,/7vjaCdMw15FEbXyLQTVa04URsPm.jpg,Destiny is a beast.,3001,"Henry Cavill, Anya Chalotra, Freya Allan, Jodhi May, MyAnna Buring, Joey Batey, Eamon Farren, Mimi Ndiweni, Björn Hlynur Haraldsson, Adam Levy, Lars Mikkelsen, Royce Pierreson, Wilson Radjou-Pujalte, Anna Shaffer","United States, Poland",2019,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",netflix
3,93405,Squid Game,7.8,/dDlEmu3EZ0Pgg93K2SVNLCjCSvE.jpg,45.6 billion won is child's play.,9584,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",netflix
4,60735,The Flash,7.8,/lJA2RCMfsWoskqlQhXPSLFQGXEJ.jpg,The fastest man alive.,8998,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,2021,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.,netflix
5,63174,Lucifer,8.5,/ekZobS8isE6mA53RAiGDG93hBxL.jpg,All bad things must come to an end.,11183,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",netflix
6,2778,Wheel of Fortune,7.1,/2fvAIyVfFHQdhJ7OsJWuMlF7836.jpg,,36,"Pat Sajak, Vanna White",United States,2019,TV-G,3 Seasons,Reality TV,"Pat Sajak and Vanna White host one of TV's most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases.",netflix
7,69050,Riverdale,8.6,/xBaeUYKNJfX8VhIFvvgPpFSYxBZ.jpg,Small town. Big secrets.,12272,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse, Marisol Nichols, Madelaine Petsch, Ashleigh Murray, Mädchen Amick, Luke Perry, Casey Cott, Charles Melton, Mark Consuelos, Lochlyn Munro, Peter Bryant, Colin Lawrence, Molly Ringwald, Asha Bromfield, Barclay Hope, Hayley Law, Martin Cummins, Sarah Habel, Nathalie Boltt, Skeet Ulrich",United States,2019,TV-14,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery.",netflix
8,456,The Simpsons,7.9,/tubgEpjTUA7t0kejVMBsNBZDarZ.jpg,"On your marks, get set, d'oh!",7407,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",United States,1989,TV-PG,32 Seasons,"Animation, Comedy","The world’s favorite nuclear family, in the award-winning, history-making series.",disney
9,1402,The Walking Dead,8.1,/w21lgYIi9GeUH5dO8l3B9ARZbCB.jpg,Fight the dead. Fear the living.,12206,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal",United States,2019,TV-MA,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas","In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival.",netflix
